File,Line,Index,Context
Bay_of_ConcepciC3B3n.html,18,60,"plication/x-wiki"" title=""Edit this page"" href=""/w/index.php?titl"
Bay_of_ConcepciC3B3n.html,19,29,"<link rel=""edit"" title=""Edit this page"" href=""/w/index.php?titl"
Bay_of_ConcepciC3B3n.html,58,456,"al photos, and other data for this location""><span class=""latitu"
Bay_of_ConcepciC3B3n.html,58,701,"al photos, and other data for this location"">36.683°S 73.033°W</"
Bay_of_ConcepciC3B3n.html,63,7,"<td><i>This <a href=""/wiki/B%C3%ADo_B%C3%"
Bay_of_ConcepciC3B3n.html,66,122,"o-geo-stub""><abbr title=""View this template"">v</abbr></a></li>"
Bay_of_ConcepciC3B3n.html,67,135,"eo-stub""><abbr title=""Discuss this template"">t</abbr></a></li>"
Bay_of_ConcepciC3B3n.html,68,158,"ction=edit""><abbr title=""Edit this template"">e</abbr></a></li>"
Bay_of_ConcepciC3B3n.html,115,137,"ssion about edits from this IP address [n]"" accesskey=""n"">Talk</"
Bay_of_ConcepciC3B3n.html,115,283,"ist of edits made from this IP address [y]"" accesskey=""y"">Contri"
Bay_of_ConcepciC3B3n.html,141,119,"""  title=""Edit this page [e]"" accesskey=""e"">Edit</a></span></li>"
Bay_of_ConcepciC3B3n.html,142,158,"t revisions of this page [h]"" accesskey=""h"">View history</a></sp"
Bay_of_ConcepciC3B3n.html,160,272,"=""Search Wikipedia for this text"" id=""mw-searchButton"" class=""se"
Bay_of_ConcepciC3B3n.html,160,417,"tle=""Go to a page with this exact name if it exists"" id=""searchB"
Bay_of_ConcepciC3B3n.html,188,155,"ges containing links to this page [j]"" accesskey=""j"">What links "
Bay_of_ConcepciC3B3n.html,188,364,"es in pages linked from this page [k]"" accesskey=""k"">Related cha"
Bay_of_ConcepciC3B3n.html,188,794,"itle=""Permanent link to this revision of the page"">Permanent lin"
Bay_of_ConcepciC3B3n.html,188,958,"""More information about this page"">Page information</a></li><li "
Bay_of_ConcepciC3B3n.html,188,1206,x.php?title=Special:CiteThisPage&amp;page=Bay_of_Concepci%C3%B3n
Bay_of_ConcepciC3B3n.html,188,1299,"ormation on how to cite this page"">Cite this page</a></li>					<"
Bay_of_ConcepciC3B3n.html,188,1315,"to cite this page"">Cite this page</a></li>					</ul>"
Bay_of_ConcepciC3B3n.html,196,515,"e=""Printable version of this page [p]"" accesskey=""p"">Printable v"
Bay_of_ConcepciC3B3n.html,211,41,"ter-info-lastmod""> This page was last modified on 16 February 20"
Bay_of_ConcepciC3B3n.html,213,38,"al terms may apply.  By using this site, you agree to the <a hre"
Bye_My_Boy.html,17,60,"plication/x-wiki"" title=""Edit this page"" href=""/w/index.php?titl"
Bye_My_Boy.html,18,29,"<link rel=""edit"" title=""Edit this page"" href=""/w/index.php?titl"
Bye_My_Boy.html,148,120,"iant Green""><abbr title=""View this template"" style="";background:"
Bye_My_Boy.html,149,133,"t Green""><abbr title=""Discuss this template"" style="";background:"
Bye_My_Boy.html,150,152,"ction=edit""><abbr title=""Edit this template"" style="";background:"
Bye_My_Boy.html,286,137,"ssion about edits from this IP address [n]"" accesskey=""n"">Talk</"
Bye_My_Boy.html,286,283,"ist of edits made from this IP address [y]"" accesskey=""y"">Contri"
Bye_My_Boy.html,312,109,"""  title=""Edit this page [e]"" accesskey=""e"">Edit</a></span></li>"
Bye_My_Boy.html,313,148,"t revisions of this page [h]"" accesskey=""h"">View history</a></sp"
Bye_My_Boy.html,331,272,"=""Search Wikipedia for this text"" id=""mw-searchButton"" class=""se"
Bye_My_Boy.html,331,417,"tle=""Go to a page with this exact name if it exists"" id=""searchB"
